timestamp,tab_switches,is_cheating
2023-12-01 10:32:29.142976,1,1
2023-12-01 10:34:17.813955,3,1
2023-12-01 10:34:33.181174,3,1
2023-12-01 10:34:41.804595,3,1
2023-12-01 10:35:28.544525,1,0
2023-12-01 10:38:50.562447,1,1
2023-12-01 10:38:54.020092,3,1
2023-12-01 10:38:55.980618,3,1
2023-12-01 10:39:01.943939,1,1
2023-12-01 10:40:39.164069,3,1
2023-12-01 10:45:03.671797,3,1
2023-12-01 10:45:39.962066,1,0
